"id","productType","productTypeKey","name.en","name.ru","name.en-US","description.en","description.ru","description.en-US","categories","slug.en","slug.ru","slug.en-US","metaTitle.ru","metaTitle.en-US","metaDescription.ru","metaDescription.en-US","searchKeywords.ru","searchKeywords.en-US","_hasStagedChanges","_published","key","tax","priceMode","createdAt","lastModifiedAt","variantId","sku","variantKey","images","prices","developer","players_quantity","Platform","genre","release","number","system_requirements","video"
"54218464-8593-4c01-926c-fe5e47e4967c","Game","Game","FOR HONOR","FOR HONOR","FOR HONOR","This is an action game in which players control one of three factions (Samurai, Vikings, Knights) in a protracted battle for dominance. As players complete mission objectives, they use swords, axes, and spears to kill enemy warriors in melee-style combat.","Это игра в жанре экшн, в которой игроки управляют одной из трех фракций (самураи, викинги, рыцари) в затяжной битве за господство. Когда игроки выполняют задачи миссии, они используют мечи, топоры и копья, чтобы убивать вражеских воинов в рукопашном бою.","This is an action game in which players control one of three factions (Samurai, Vikings, Knights) in a protracted battle for dominance. As players complete mission objectives, they use swords, axes, and spears to kill enemy warriors in melee-style combat.","action_PC;Action","FOR_HONOR","FOR_HONOR","FOR_HONOR","FOR_HONOR","FOR_HONOR","FOR HONOR","FOR HONOR","FOR HONOR","FOR HONOR","false","true","FOR_HONOR","Tax name US","Embedded","2023-08-06T04:58:40.514Z","2023-09-09T06:54:40.647Z",1,"FHR_01","FHR_01","https://57a0b57058060779f6a7-142db361bf53e070d1b6074a9d839b11.ssl.cf3.rackcdn.com/for_honor-Fe_FhumP.jpg||292x385;https://57a0b57058060779f6a7-142db361bf53e070d1b6074a9d839b11.ssl.cf3.rackcdn.com/for_honor_01-a_FMQcIX.jpg||1920x720;https://57a0b57058060779f6a7-142db361bf53e070d1b6074a9d839b11.ssl.cf3.rackcdn.com/forhonor2-nF7wvbus.jpg||1200x675;https://57a0b57058060779f6a7-142db361bf53e070d1b6074a9d839b11.ssl.cf3.rackcdn.com/forhonor1-e43YT-Ss.jpg||1280x720;https://57a0b57058060779f6a7-142db361bf53e070d1b6074a9d839b11.ssl.cf3.rackcdn.com/forhonor5-EOxbj7_Q.jpg||1280x720;https://57a0b57058060779f6a7-142db361bf53e070d1b6074a9d839b11.ssl.cf3.rackcdn.com/forhonor3-O_jLX2AY.jpg||1920x1080;https://57a0b57058060779f6a7-142db361bf53e070d1b6074a9d839b11.ssl.cf3.rackcdn.com/forhonor4-s7UBEWTs.jpg||2880x1800","RU-RUB 310000|248000;US-USD 3400|2720","Ubisoft",1,"PC","action","2018-12-18",6,"",""
"c997321a-505b-4403-8764-7f7c4e433774","Game","Game","Assassin's Creed Mirage","Assassin's Creed Mirage","Assassin's Creed Mirage","Experience the story of Basim, a cunning street thief with nightmarish visions, seeking answers and justice as he navigates the bustling streets of ninth-century Baghdad.
 
Through a mysterious, ancient organization known as the Hidden Ones, he will become a deadly Master Assassin and change his fate in ways he never could have imagined.","Погрузитесь в историю Басима, хитрого уличного вора с кошмарными видениями, который ищет ответы и справедливость, путешествуя по шумным улицам Багдада девятого века. Через таинственную древнюю организацию, известную как Скрытые, он станет смертоносным мастером-ассасином и изменит свою судьбу так, как он и представить себе не мог.","Experience the story of Basim, a cunning street thief with nightmarish visions, seeking answers and justice as he navigates the bustling streets of ninth-century Baghdad.
 
Through a mysterious, ancient organization known as the Hidden Ones, he will become a deadly Master Assassin and change his fate in ways he never could have imagined.","Action;action_PC;after18","assassins-creed-mirage","assassins-creed-mirage","assassins-creed-mirage","Assassin's Creed Mirage","Assassin's Creed Mirage","Assassin's Creed Mirage","Assassin's Creed Mirage","Assassin's Creed Mirage","Assassin's Creed Mirage","false","true","assassins-creed-mirage","Tax name US","Embedded","2023-08-05T13:03:45.677Z","2023-09-09T06:55:48.435Z",1,"ASCRMIR_01","ASCRMIR_01","https://57a0b57058060779f6a7-142db361bf53e070d1b6074a9d839b11.ssl.cf3.rackcdn.com/assassins_creed-0-aYk7l-.jpg||314x386;https://57a0b57058060779f6a7-142db361bf53e070d1b6074a9d839b11.ssl.cf3.rackcdn.com/AssassinCreedMirage4-C_UFpMU4.jpg||300x168;https://57a0b57058060779f6a7-142db361bf53e070d1b6074a9d839b11.ssl.cf3.rackcdn.com/AssassinCreedMirage2-6nuwWDhj.jpg||1200x800;https://57a0b57058060779f6a7-142db361bf53e070d1b6074a9d839b11.ssl.cf3.rackcdn.com/AssassinCreedMirage3-IkXzc6Pm.jpg||1200x900;https://57a0b57058060779f6a7-142db361bf53e070d1b6074a9d839b11.ssl.cf3.rackcdn.com/AssassinCreedMirage1-jjGR144v.jpg||1920x1080","RU-RUB 23500;US-USD 245","Ubisoft",1,"PC","action","2023-10-28",2,"","https://youtu.be/x55lAlFtXmw"
"39ea8a33-9974-4e04-8b31-62bbd45f714d","Game","Game","Skull and Bones","Skull and Bones","Skull and Bones","Enter the perilous paradise of Skull and Bones, inspired by the Indian Ocean during the Golden Age of Piracy, as you overcome the odds and rise from an outcast to an infamous pirate.","Войдите в опасный рай Черепа и Костей, вдохновленный Индийским океаном во время Золотого века пиратства, преодолевая трудности и превращаясь из изгоя в печально известного пирата.","Enter the perilous paradise of Skull and Bones, inspired by the Indian Ocean during the Golden Age of Piracy, as you overcome the odds and rise from an outcast to an infamous pirate.","Adventure","Skull_and_Bones","Skull_and_Bones","Skull_and_Bones","Skull_and_Bones","Skull_and_Bones","Skull and Bones","Skull and Bones","Skull and Bones","Skull and Bones","false","true","Skull_and_Bones","Tax name US","Embedded","2023-08-06T06:07:49.646Z","2023-09-09T06:54:02.721Z",1,"SKBO_01","SKBO_01","https://57a0b57058060779f6a7-142db361bf53e070d1b6074a9d839b11.ssl.cf3.rackcdn.com/scull_and_bones-qQ42_Gx_.jpg||313x382;https://57a0b57058060779f6a7-142db361bf53e070d1b6074a9d839b11.ssl.cf3.rackcdn.com/scull_and_bones5-Zvr1Wplr.jpg||686x386;https://57a0b57058060779f6a7-142db361bf53e070d1b6074a9d839b11.ssl.cf3.rackcdn.com/scull_and_bones3-2iySoNQV.jpg||960x500;https://57a0b57058060779f6a7-142db361bf53e070d1b6074a9d839b11.ssl.cf3.rackcdn.com/scull_and_bones1-6O9S6bbb.jpg||1200x800;https://57a0b57058060779f6a7-142db361bf53e070d1b6074a9d839b11.ssl.cf3.rackcdn.com/scull_and_bones2-aIUU3W0j.jpg||2560x1340","RU-RUB 156000;US-USD 2300","Ubisoft",1,"Xbox","action;adventure","2023-12-31",12,"","https://youtu.be/8i2eHxj5NMU"
"8f9d2419-0ba0-4718-be21-4d53489a0b8e","Game","Game","Call of Duty Vanguard","Call of Duty Vanguard","Call of Duty Vanguard","Call of Duty Vanguard will also usher in a new and unparalleled Call of Duty: Warzone integration post launch, and feature cross-progression and cross-generation play, in addition to a massive calendar of free post-launch content that adds in new Multiplayer maps, modes, seasonal events, community celebrations and more.

 

Rise on every front Dogfight over the Pacific, airdrop over France, defend Stalingrad with a sniper's precision and blast through advancing forces in North Africa

 

Through a deeply engaging single player Campaign a select group of soldiers from different countries rise to meet the world's gravest threat.","Call of Duty Vanguard также откроет новую и беспрецедентную интеграцию Call of Duty: Warzone после запуска, а также возможность кросс-прогрессии и игры между поколениями, в дополнение к огромному календарю бесплатного контента после запуска, который добавляет новые многопользовательские карты. , режимы, сезонные события, общественные праздники и многое другое. Поднимайтесь на каждом фронте Воздушные бои над Тихим океаном, десантируйтесь над Францией, защищайте Сталинград со снайперской точностью и пробивайте наступающие силы в Северной Африке. В увлекательной однопользовательской кампании избранная группа солдат из разных стран поднимается навстречу самой серьезной мировой угрозе.","Call of Duty Vanguard will also usher in a new and unparalleled Call of Duty: Warzone integration post launch, and feature cross-progression and cross-generation play, in addition to a massive calendar of free post-launch content that adds in new Multiplayer maps, modes, seasonal events, community celebrations and more.

 

Rise on every front Dogfight over the Pacific, airdrop over France, defend Stalingrad with a sniper's precision and blast through advancing forces in North Africa

 

Through a deeply engaging single player Campaign a select group of soldiers from different countries rise to meet the world's gravest threat.","Shooter","Call_of_Duty","Call_of_Duty","Call_of_Duty","Call_of_Duty","Call_of_Duty","Call of Duty Vanguard","Call of Duty Vanguard","Call of Duty Vanguard","Call of Duty Vanguard","false","true","Call_of_Duty","Tax name US","Embedded","2023-08-06T06:28:16.327Z","2023-09-09T06:24:19.928Z",1,"CDA_01","CDA_01","https://57a0b57058060779f6a7-142db361bf53e070d1b6074a9d839b11.ssl.cf3.rackcdn.com/call_of_duty-TDTUvhFT.jpg||306x347;https://57a0b57058060779f6a7-142db361bf53e070d1b6074a9d839b11.ssl.cf3.rackcdn.com/callofduty4-raEviIaa.jpg||480x270;https://57a0b57058060779f6a7-142db361bf53e070d1b6074a9d839b11.ssl.cf3.rackcdn.com/callofduty5-oiKOVA55.jpg||300x168;https://57a0b57058060779f6a7-142db361bf53e070d1b6074a9d839b11.ssl.cf3.rackcdn.com/callofduty3-NLwd8P32.jpg||1920x1080;https://57a0b57058060779f6a7-142db361bf53e070d1b6074a9d839b11.ssl.cf3.rackcdn.com/callofduty2-n35Csjii.jpg||1620x1080;https://57a0b57058060779f6a7-142db361bf53e070d1b6074a9d839b11.ssl.cf3.rackcdn.com/callofduty1-izAuE5i4.jpg||1920x1080","RU-RUB 190000;US-USD 2700","Activision",1,"PlayStation","shooter","2021-11-05",3,"",""
"b655b85b-c913-452c-bb21-dd100d10a99a","Game","Game","Dead Space","Dead Space","Dead Space","The sci-fi survival horror classic Dead Space™ returns, completely rebuilt from the ground up to offer a deeper and more immersive experience. This remake brings jaw-dropping visual fidelity, suspenseful atmospheric audio, and improvements to gameplay while staying faithful to the original game’s thrilling vision.


Isaac Clarke is an everyman engineer on a mission to repair a vast mining ship, the USG Ishimura, only to discover something has gone horribly wrong. The ship's crew has been slaughtered and Isaac’s beloved partner, Nicole, is lost somewhere on board.","Классический научно-фантастический хоррор Dead Space™ возвращается, полностью переработанный с нуля, чтобы предложить более глубокий и захватывающий опыт. Этот ремейк предлагает потрясающую визуальную точность, напряженный атмосферный звук и улучшения игрового процесса, сохраняя при этом верность захватывающему видению оригинальной игры. Исаак Кларк — обычный инженер, выполняющий задание по ремонту огромного шахтерского корабля USG Ishimura, только чтобы обнаружить, что что-то пошло не так. Экипаж корабля убит, а любимая напарница Исаака, Николь, потерялась где-то на борту.","The sci-fi survival horror classic Dead Space™ returns, completely rebuilt from the ground up to offer a deeper and more immersive experience. This remake brings jaw-dropping visual fidelity, suspenseful atmospheric audio, and improvements to gameplay while staying faithful to the original game’s thrilling vision.


Isaac Clarke is an everyman engineer on a mission to repair a vast mining ship, the USG Ishimura, only to discover something has gone horribly wrong. The ship's crew has been slaughtered and Isaac’s beloved partner, Nicole, is lost somewhere on board.","after18;Horror;action_PlayStation","dead-space","dead-space","dead-space","Dead Space","Dead Space","Dead Space","Dead Space","Dead Space","Dead Space","false","true","dead-space","Tax name US","Embedded","2023-08-05T13:39:27.911Z","2023-09-09T15:02:29.905Z",1,"DDSPC_01","DDSPC_01","https://57a0b57058060779f6a7-142db361bf53e070d1b6074a9d839b11.ssl.cf3.rackcdn.com/dead_space-3g2nGHix.jpg||311x388;https://57a0b57058060779f6a7-142db361bf53e070d1b6074a9d839b11.ssl.cf3.rackcdn.com/dead_space_02--Jk_PV-c.jpg||786x496;https://57a0b57058060779f6a7-142db361bf53e070d1b6074a9d839b11.ssl.cf3.rackcdn.com/dead_space_01-fsxqGF6s.jpg||786x496;https://57a0b57058060779f6a7-142db361bf53e070d1b6074a9d839b11.ssl.cf3.rackcdn.com/dead_space_03-GKK6JXSl.jpg||786x496","RU-RUB 430000|344000;US-USD 4300|3440","Motive",1,"PlayStation","horror","2023-01-27",4,"","https://youtu.be/cTDJNZ9cK1w"
"8ef5b02e-9cd9-4f46-aa57-2ef7785bbaaa","Game","Game","The Legend of Zelda: Tears of Kingdom for Nintendo Switch","The Legend of Zelda: Tears of Kingdom for Nintendo Switch","The Legend of Zelda: Tears of Kingdom for Nintendo Switch","An epic adventure across the land and skies of Hyrule awaits in The Legend of Zelda™: Tears of the Kingdom for Nintendo Switch™. The adventure is yours to create in a world fueled by your imagination.
In this sequel to The Legend of Zelda: Breath of the Wild, you’ll decide your own path through the sprawling landscapes of Hyrule and the mysterious islands floating in the vast skies above. Can you harness the power of Link’s new abilities to fight back against the malevolent forces that threaten the kingdom?","Эпическое приключение по земле и небу Хайрула ждет вас в The Legend of Zelda™: Tears of the Kingdom для Nintendo Switch™. Вы можете создать приключение в мире, питаемом вашим воображением. В этом продолжении The Legend of Zelda: Breath of the Wild вам предстоит выбрать свой собственный путь через обширные ландшафты Хайрула и загадочные острова, парящие в бескрайнем небе над головой. Сможете ли вы использовать силу новых способностей Линка, чтобы дать отпор злым силам, угрожающим королевству?","An epic adventure across the land and skies of Hyrule awaits in The Legend of Zelda™: Tears of the Kingdom for Nintendo Switch™. The adventure is yours to create in a world fueled by your imagination.
In this sequel to The Legend of Zelda: Breath of the Wild, you’ll decide your own path through the sprawling landscapes of Hyrule and the mysterious islands floating in the vast skies above. Can you harness the power of Link’s new abilities to fight back against the malevolent forces that threaten the kingdom?","Adventure;Action;action_Nintendo","zelda","zelda","zelda","zelda","zelda","zelda","zelda",,,"false","true","zelda","Tax name US","Embedded","2023-09-02T08:24:23.510Z","2023-09-09T06:55:02.802Z",1,"Zelda","Zelda_01","https://57a0b57058060779f6a7-142db361bf53e070d1b6074a9d839b11.ssl.cf3.rackcdn.com/Zelda1-XDqPlHYw.jpg||616x1000;https://57a0b57058060779f6a7-142db361bf53e070d1b6074a9d839b11.ssl.cf3.rackcdn.com/Zelda3-IWfOKPvO.jpg||1920x1080;https://57a0b57058060779f6a7-142db361bf53e070d1b6074a9d839b11.ssl.cf3.rackcdn.com/Zelda2-EaMTZfIY.jpg||1200x675","RU-RUB 280000;US-USD 2800","Nintendo",1,"Nintendo","adventure","2023-05-12",21,"",""
"8f903673-900a-4f57-8796-87c365155659","Game","Game","Demon's Souls for PS5","Demon's Souls for PS5","Demon's Souls for PS5","From PlayStation Studios and Bluepoint Games comes a remake of the PlayStation classic, Demon’s Souls. Entirely rebuilt from the ground up and masterfully enhanced, this remake introduces the horrors of a fog-laden, dark fantasy land to a whole new generation of gamers. Those who’ve faced its trials and tribulations before, can once again challenge the darkness in stunning visual quality with incredible performance.","PlayStation Studios и Bluepoint Games представляют ремейк классической игры PlayStation — Demon’s Souls. Полностью переработанный с нуля и мастерски улучшенный, этот ремейк знакомит совершенно новое поколение геймеров с ужасами окутанной туманом темной фэнтезийной страны. Те, кто уже сталкивался с ее испытаниями и невзгодами, смогут еще раз бросить вызов тьме в потрясающем визуальном качестве и невероятной производительности.","From PlayStation Studios and Bluepoint Games comes a remake of the PlayStation classic, Demon’s Souls. Entirely rebuilt from the ground up and masterfully enhanced, this remake introduces the horrors of a fog-laden, dark fantasy land to a whole new generation of gamers. Those who’ve faced its trials and tribulations before, can once again challenge the darkness in stunning visual quality with incredible performance.","Action;action_PC","test_game","test_game","test_game","test_game","test_game","test_game","test_game","test_game","test_game","false","true","demons_souls","Tax name US","Embedded","2023-08-05T11:44:37.270Z","2023-09-09T06:56:08.283Z",1,"test_game","test_game","https://57a0b57058060779f6a7-142db361bf53e070d1b6074a9d839b11.ssl.cf3.rackcdn.com/demons_souls1-bqWuvQrL.jpg||584x671;https://57a0b57058060779f6a7-142db361bf53e070d1b6074a9d839b11.ssl.cf3.rackcdn.com/demons_souls5-0urmusLL.jpg||1000x1000;https://57a0b57058060779f6a7-142db361bf53e070d1b6074a9d839b11.ssl.cf3.rackcdn.com/demons_souls6-aKxwttdd.jpeg||1400x788;https://57a0b57058060779f6a7-142db361bf53e070d1b6074a9d839b11.ssl.cf3.rackcdn.com/demons_souls4-qkZRg4n2.jpg||1920x1080;https://57a0b57058060779f6a7-142db361bf53e070d1b6074a9d839b11.ssl.cf3.rackcdn.com/demons_souls2-J0SvLI7a.jpg||2000x1125;https://57a0b57058060779f6a7-142db361bf53e070d1b6074a9d839b11.ssl.cf3.rackcdn.com/demons_souls3-XyXE6HIA.png||2560x1440","RU-RUB 530000|424000;US-USD 5300|4240","Sony Entertainment",2,"PC","action","2021-09-21",13,"ОС
Windows 7 SP1
Процессор
Intel Core i5-4590 or AMD FX 8350
Оперативная память
8 GB ОЗУ
Видеокарта
NVIDIA GTX 970 or AMD Radeon R9 290
Жесткий диск
12 GB",""
"fe2f58da-c24c-4959-83f5-f2e9966364a1","Game","Game","Avatar: Frontiers of Pandora","Avatar: Frontiers of Pandora","Avatar: Frontiers of Pandora","Avatar: Frontiers of Pandora is a first-person, action-adventure game set in the Western Frontier.

 

Abducted by the human militaristic corporation known as the RDA, you, a Na’vi, were molded to serve their purpose. Fifteen years later, you are free, but find yourself a stranger in your birthplace. Reconnect with your lost heritage and discover what it truly means to be Na'vi as you join other clans to protect Pandora from the RDA.

 ","Avatar: Frontiers of Pandora — приключенческий боевик от первого лица, действие которого происходит на Западной границе. Похищенные милитаристской корпорацией людей, известной как RDA, вы, На'ви, были созданы для того, чтобы служить их цели. Пятнадцать лет спустя вы свободны, но обнаруживаете себя чужаком на родине. Воссоединитесь со своим утраченным наследием и узнайте, что на самом деле значит быть На'ви, присоединившись к другим кланам, чтобы защитить Пандору от RDA.","Avatar: Frontiers of Pandora is a first-person, action-adventure game set in the Western Frontier.

 

Abducted by the human militaristic corporation known as the RDA, you, a Na’vi, were molded to serve their purpose. Fifteen years later, you are free, but find yourself a stranger in your birthplace. Reconnect with your lost heritage and discover what it truly means to be Na'vi as you join other clans to protect Pandora from the RDA.

 ","Action;action_PlayStation;before18","Avatar","Avatar","Avatar","Avatar: Frontiers of Pandora","Avatar: Frontiers of Pandora","Avatar: Frontiers of Pandora","Avatar: Frontiers of Pandora","Avatar: Frontiers of Pandora","Avatar: Frontiers of Pandora","false","true","Avatar","Tax name US","Embedded","2023-08-06T08:37:04.585Z","2023-09-09T06:12:35.464Z",1,"AVA_01","AVA_01","https://57a0b57058060779f6a7-142db361bf53e070d1b6074a9d839b11.ssl.cf3.rackcdn.com/avatar-M9jIrBO-.jpg||312x389;https://57a0b57058060779f6a7-142db361bf53e070d1b6074a9d839b11.ssl.cf3.rackcdn.com/avatar1-Hh9qZA5M.jpg||850x917;https://57a0b57058060779f6a7-142db361bf53e070d1b6074a9d839b11.ssl.cf3.rackcdn.com/avatar5-EIdr8-iq.jpg||1200x675;https://57a0b57058060779f6a7-142db361bf53e070d1b6074a9d839b11.ssl.cf3.rackcdn.com/avatar2-ofxKgAI2.jpg||736x920;https://57a0b57058060779f6a7-142db361bf53e070d1b6074a9d839b11.ssl.cf3.rackcdn.com/avatar4-XgWT7TFO.jpg||1600x900;https://57a0b57058060779f6a7-142db361bf53e070d1b6074a9d839b11.ssl.cf3.rackcdn.com/avatar3--WjDb-0b.jpg||1400x1400","RU-RUB 250000;US-USD 2500","Ubisoft",1,"PlayStation;Xbox","action;adventure","2023-12-07",17,"",""
"a02b0542-f33a-4a5c-bb9d-39e18b1ec979","Game","Game","Hogwarts Legacy","Hogwarts Legacy","Hogwarts Legacy","Hogwarts Legacy is an immersive, open-world action RPG set in the world first introduced in the Harry Potter books. Embark on a journey through familiar and new locations as you explore and discover fantastic beasts, customize your character and craft potions, master spell casting, upgrade talents, and become the wizard you want to be.","Hogwarts Legacy — это захватывающая ролевая игра с открытым миром, действие которой происходит в мире, впервые представленном в книгах о Гарри Поттере. Отправляйтесь в путешествие по знакомым и новым локациям, исследуйте и открывайте фантастических существ, настраивайте своего персонажа и изготавливайте зелья, совершенствуйтесь в произнесении заклинаний, улучшайте таланты и становитесь волшебником, которым хотите быть.","Hogwarts Legacy is an immersive, open-world action RPG set in the world first introduced in the Harry Potter books. Embark on a journey through familiar and new locations as you explore and discover fantastic beasts, customize your character and craft potions, master spell casting, upgrade talents, and become the wizard you want to be.","Adventure;before18","hogwarts-legacy","hogwarts-legacy","hogwarts-legacy","Hogwarts Legacy","Hogwarts Legacy","Hogwarts Legacy","Hogwarts Legacy","Hogwarts Legacy","Hogwarts Legacy","false","true","hogwarts-legacy","Tax name US","Embedded","2023-08-05T13:19:46.207Z","2023-09-09T06:53:30.415Z",1,"HGWLGC_01","HGWLGC_01","https://57a0b57058060779f6a7-142db361bf53e070d1b6074a9d839b11.ssl.cf3.rackcdn.com/hogwarts-X2A34rBr.jpg||306x382;https://57a0b57058060779f6a7-142db361bf53e070d1b6074a9d839b11.ssl.cf3.rackcdn.com/Hogwarts-Legacy-8o33V5t0.jpg||533x614;https://57a0b57058060779f6a7-142db361bf53e070d1b6074a9d839b11.ssl.cf3.rackcdn.com/Hogwarts-Legacy-game-FdQRIrux.jpg||1400x700;https://57a0b57058060779f6a7-142db361bf53e070d1b6074a9d839b11.ssl.cf3.rackcdn.com/Hogwarts-Legacy-Muzi-1MtjOwkG.jpg||1920x1080","RU-RUB 340000|272000;US-USD 2300|1840","Avalanche",1,"PC","adventure;fantasy","2023-05-05",7,"","https://youtu.be/BsC-Rl9GYy0"
"15599876-1068-4363-beab-b1689d3ad7fb","Game","Game","Alien: Isolation","Alien: Isolation","Alien: Isolation","Discover the true meaning of fear in Alien: Isolation, a survival horror set in an atmosphere of constant dread and mortal danger. Fifteen years after the events of Alien, Ellen Ripley’s daughter, Amanda enters a desperate battle for survival, on a mission to unravel the truth behind her mother's disappearance.

 

As Amanda, you will navigate through an increasingly volatile world as you find yourself confronted on all sides by a panicked, desperate population and an unpredictable, ruthless Alien.

 

Underpowered and underprepared, you must scavenge resources, improvise solutions and use your wits, not just to succeed in your mission, but to simply stay alive.","Откройте для себя истинное значение страха в Alien: Isolation, хорроре на выживание в атмосфере постоянного страха и смертельной опасности. Спустя пятнадцать лет после событий «Чужого», дочери Эллен Рипли, Аманда вступает в отчаянную битву за выживание, чтобы выяснить правду об исчезновении ее матери. В роли Аманды вы будете путешествовать по все более изменчивому миру, сталкиваясь со всех сторон паническим, отчаявшимся населением и непредсказуемым, безжалостным Чужим. Маломощный и недостаточно подготовленный, вы должны собирать ресурсы, импровизировать решения и использовать свою смекалку не только для того, чтобы преуспеть в своей миссии, но и просто для того, чтобы остаться в живых.","Discover the true meaning of fear in Alien: Isolation, a survival horror set in an atmosphere of constant dread and mortal danger. Fifteen years after the events of Alien, Ellen Ripley’s daughter, Amanda enters a desperate battle for survival, on a mission to unravel the truth behind her mother's disappearance.

 

As Amanda, you will navigate through an increasingly volatile world as you find yourself confronted on all sides by a panicked, desperate population and an unpredictable, ruthless Alien.

 

Underpowered and underprepared, you must scavenge resources, improvise solutions and use your wits, not just to succeed in your mission, but to simply stay alive.","Horror;Action;action_Xbox","Alien_Isolation","Alien_Isolation","Alien_Isolation","Alien_Isolation","Alien_Isolation","Alien: Isolation","Alien: Isolation","Alien: Isolation","Alien: Isolation","false","true","Alien_Isolation","Tax name US","Embedded","2023-08-06T04:59:14.959Z","2023-09-09T06:54:15.555Z",1,"ALI_01","ALI_01","https://57a0b57058060779f6a7-142db361bf53e070d1b6074a9d839b11.ssl.cf3.rackcdn.com/alien-a8m0cife.jpg||311x386;https://57a0b57058060779f6a7-142db361bf53e070d1b6074a9d839b11.ssl.cf3.rackcdn.com/alien4-UKDw6K8_.jpg||740x477;https://57a0b57058060779f6a7-142db361bf53e070d1b6074a9d839b11.ssl.cf3.rackcdn.com/alien1-PQD3cYlg.jpg||1920x1080;https://57a0b57058060779f6a7-142db361bf53e070d1b6074a9d839b11.ssl.cf3.rackcdn.com/alien2-3yX6qwh5.jpg||1600x900;https://57a0b57058060779f6a7-142db361bf53e070d1b6074a9d839b11.ssl.cf3.rackcdn.com/alien6-HMA87CIW.png||3840x2160","RU-RUB 220000|176000;US-USD 2300|1840","The Creative Assembly","","Xbox","action;horror","2014-10-07",1,"","https://youtu.be/JxZC88xX2Uc"
